Method,Uncertainty,Spearman_rho,Spearman_p,Pearson_r,Pearson_p
TRUST,u_mean,0.004095985151477646,0.9097714266312737,-0.04268749393778695,0.237363548370991
TRUST,u_p95,-0.08354606487878567,0.02058150711711653,-0.09017810109445304,0.012415344629153722
TRUST,u_p99,-0.06718612511719617,0.06274602751093993,-0.07346993343656137,0.041801233073736344
TRUST,u_top1_mean,-0.06890356301805796,0.056304658341564014,-0.08057147767893387,0.025558414168022372
TRUST,top5_u_mean,-0.07000429048205987,0.05247268346218316,-0.08016435306880113,0.026314588704295268
Post-hoc sampling,u_mean,0.004095985151477646,0.9097714266312737,-0.04268749393778695,0.237363548370991
Post-hoc sampling,u_p95,-0.08354606487878567,0.02058150711711653,-0.09017810109445304,0.012415344629153722
Post-hoc sampling,u_p99,-0.06718612511719617,0.06274602751093993,-0.07346993343656137,0.041801233073736344
Post-hoc sampling,u_top1_mean,-0.06890356301805796,0.056304658341564014,-0.08057147767893387,0.025558414168022372
Post-hoc sampling,top5_u_mean,-0.07000429048205987,0.05247268346218316,-0.08016435306880113,0.026314588704295268
